Table Name,Description,Type
tax_gpt_models,Gpt Models,Relation Table
tax_gpt_platforms,Gpt Platforms,Relation Table
tax_gpt_tags,Gpt Tags,Relation Table
tax_knowledge_types,Knowledge Types,Relation Table
tax_output_cats,Output Cats,Relation Table
tax_output_formats,Output Formats,Relation Table
tax_output_types,Output Types,Relation Table
tax_outputlanguages,Outputlanguages,Relation Table
tax_project_tags,Project Tags,Relation Table
tax_prompt_actions,Actions,Relation Table
tax_unique_ids,Unique Ids,Relation Table
tax_use_cases,Use Cases,Relation Table
third_party_gpts,Third Party Gpts,General Table
